group,element,private_creator,vr,vm,keyword,name,description,retired,vendors,sources
0008,0012,,DA,1,InstanceCreationDate,Instance Creation Date,,N,standard,PS3.6
0008,0013,,TM,1,InstanceCreationTime,Instance Creation Time,,N,standard,PS3.6
0008,0014,,UI,1,InstanceCreatorUID,Instance Creator UID,,N,standard,PS3.6
0008,0015,,DT,1,InstanceCoercionDateTime,Instance Coercion DateTime,,N,standard,PS3.6
0008,0016,,UI,1,SOPClassUID,SOP Class UID,,N,standard,PS3.6
0008,0017,,UI,1,AcquisitionUID,Acquisition UID,,N,standard,PS3.6
0008,0018,,UI,1,SOPInstanceUID,SOP Instance UID,,N,standard,PS3.6
0008,0019,,UI,1,PyramidUID,Pyramid UID,,N,standard,PS3.6
0008,001A,,UI,1-n,RelatedGeneralSOPClassUID,Related General SOP Class UID,,N,standard,PS3.6
0008,001B,,UI,1,OriginalSpecializedSOPClassUID,Original Specialized SOP Class UID,,N,standard,PS3.6
0008,001C,,CS,1,SyntheticData,Synthetic Data,,N,standard,PS3.6
0008,0020,,DA,1,StudyDate,Study Date,,N,standard,PS3.6
0008,0021,,DA,1,SeriesDate,Series Date,,N,standard,PS3.6
0008,0022,,DA,1,AcquisitionDate,Acquisition Date,,N,standard,PS3.6
0008,0023,,DA,1,ContentDate,Content Date,,N,standard,PS3.6
0008,0024,,DA,1,OverlayDate,Overlay Date,,Y,standard,PS3.6
0008,0025,,DA,1,CurveDate,Curve Date,,Y,standard,PS3.6
0008,002A,,DT,1,AcquisitionDateTime,Acquisition DateTime,,N,standard,PS3.6
0008,0030,,TM,1,StudyTime,Study Time,,N,standard,PS3.6
0008,0031,,TM,1,SeriesTime,Series Time,,N,standard,PS3.6
0008,0032,,TM,1,AcquisitionTime,Acquisition Time,,N,standard,PS3.6
0008,0033,,TM,1,ContentTime,Content Time,,N,standard,PS3.6
0008,0034,,TM,1,OverlayTime,Overlay Time,,Y,standard,PS3.6
0008,0035,,TM,1,CurveTime,Curve Time,,Y,standard,PS3.6
0008,0040,,US,1,DataSetType,Data Set Type,,Y,standard,PS3.6
0008,0041,,LO,1,DataSetSubtype,Data Set Subtype,,Y,standard,PS3.6
0008,0042,,CS,1,NuclearMedicineSeriesType,Nuclear Medicine Series Type,,Y,standard,PS3.6
0008,0050,,SH,1,AccessionNumber,Accession Number,,N,standard,PS3.6
0008,0051,,SQ,1,IssuerOfAccessionNumberSequence,Issuer of Accession Number Sequence,,N,standard,PS3.6
0008,0052,,CS,1,QueryRetrieveLevel,Query/Retrieve Level,,N,standard,PS3.6
0008,0053,,CS,1,QueryRetrieveView,Query/Retrieve View,,N,standard,PS3.6
0008,0054,,AE,1-n,RetrieveAETitle,Retrieve AE Title,,N,standard,PS3.6
0008,0055,,AE,1,StationAETitle,Station AE Title,,N,standard,PS3.6
0008,0056,,CS,1,InstanceAvailability,Instance Availability,,N,standard,PS3.6
0008,0058,,UI,1-n,FailedSOPInstanceUIDList,Failed SOP Instance UID List,,N,standard,PS3.6
0008,0060,,CS,1,Modality,Modality,,N,standard,PS3.6
0008,0061,,CS,1-n,ModalitiesInStudy,Modalities in Study,,N,standard,PS3.6
0008,0062,,UI,1-n,SOPClassesInStudy,SOP Classes in Study,,N,standard,PS3.6
0008,0063,,SQ,1,AnatomicRegionsInStudyCodeSequence,Anatomic Regions in Study Code Sequence,,N,standard,PS3.6
